,cit_dis_sch,school,district,city,enroll_act,testtakers_act,reading_act,english_act,math_act,science_act,num_above21_act,pct_above21_act,enroll_sat,testtakers_sat,num_erw_benchmark_sat,pct_erw_benchmark_sat,num_math_benchmark_sat,pct_math_benchmark_sat,num_tot_benchmark_sat,pct_tot_benchmark_sat,act_participation,sat_participation
57,3739810330753.0,Amador High,Amador County Unified,Amador,154.0,17.0,25.0,25.0,25.0,24.0,16.0,0.9412,154.0,26.0,23.0,0.8846,18.0,0.6923,18.0,0.6923,0.11038961038961038,0.16883116883116883
58,1751010130583.0,Amador Valley High,Pleasanton Unified,Alameda,654.0,280.0,29.0,29.0,28.0,28.0,257.99,0.9214,654.0,259.0,244.0,0.9421,218.0,0.8417,217.0,0.8378,0.42813455657492355,0.39602446483180426
61,28662660121087.0,American Canyon High,Napa Valley Unified,Napa,412.0,41.0,23.0,23.0,24.0,24.0,31.0,0.7561,412.0,148.0,125.0,0.8446,78.0,0.527,77.0,0.5203,0.09951456310679611,0.3592233009708738
62,1611760130062.0,American High,Fremont Unified,Alameda,538.0,136.0,29.0,30.0,30.0,29.0,126.0,0.9265,538.0,203.0,188.0,0.9261,180.0,0.8867,174.0,0.8571,0.2527881040892193,0.37732342007434944
64,30664313030228.0,Anaheim High,Anaheim Union High,Orange,722.0,66.0,19.0,18.0,19.0,19.0,23.0,0.3485,722.0,137.0,89.0,0.6496,55.0,0.4015,48.0,0.3504,0.09141274238227147,0.18975069252077562
66,49706074930400.0,Analy High,West Sonoma County Union High,Sonoma,262.0,33.0,27.0,27.0,25.0,24.0,27.0,0.8182,262.0,93.0,86.0,0.9247,64.0,0.6882,64.0,0.6882,0.12595419847328243,0.3549618320610687
68,45698564530333.0,Anderson New Technology High,Anderson Union High,Shasta,37.0,6.0,22.08,21.2,21.42,21.36,3.3,0.55,37.0,5.0,3.0,0.6836,2.0,0.4786,2.0,0.4529,0.16216216216216217,0.13513513513513514
69,23655402330900.0,Anderson Valley Junior-Senior High,Anderson Valley Unified,Mendocino,46.0,2.0,22.08,21.2,21.42,21.36,1.1,0.55,46.0,25.0,17.0,0.68,5.0,0.2,5.0,0.2,0.043478260869565216,0.5434782608695652
70,19645681996131.0,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,224.0,21.0,26.0,27.0,26.0,25.0,18.0,0.8571,224.0,92.0,87.0,0.9457,79.0,0.8587,78.0,0.8478,0.09375,0.4107142857142857
71,43694274332995.0,Andrew P. Hill High,East Side Union High,Santa Clara,450.0,26.0,23.0,22.0,23.0,23.0,17.0,0.6538,450.0,140.0,111.0,0.7929,80.0,0.5714,78.0,0.5571,0.057777777777777775,0.3111111111111111
72,48705404830170.0,Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,423.0,52.0,25.0,24.0,23.0,24.0,37.0,0.7115,423.0,173.0,137.0,0.7919,94.0,0.5434,87.0,0.5029,0.12293144208037825,0.408983451536643
73,19647330124883.0,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,35.0,16.0,17.0,17.0,18.0,6.0,0.1714,128.0,52.0,15.0,0.2885,8.0,0.1538,7.0,0.1346,0.2734375,0.40625
74,19646341996586.0,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,99.0,18.0,17.0,18.0,18.0,22.0,0.2222,145.0,68.0,45.0,0.6618,30.0,0.4412,29.0,0.4265,0.6827586206896552,0.4689655172413793
75,19647330111583.0,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,148.0,58.0,17.0,15.0,18.0,17.0,10.0,0.1724,148.0,116.0,33.0,0.2845,31.0,0.2672,22.0,0.1897,0.3918918918918919,0.7837837837837838
76,19647091996313.0,Animo Leadership High,Lennox,Los Angeles,153.0,127.0,16.0,15.0,17.0,17.0,13.0,0.1024,153.0,89.0,50.0,0.5618,17.0,0.191,15.0,0.1685,0.8300653594771242,0.5816993464052288
77,19647330106849.0,Animo Pat Brown,Los Angeles Unified,Los Angeles,131.0,120.0,15.0,15.0,17.0,16.0,15.0,0.125,131.0,103.0,44.0,0.4272,23.0,0.2233,19.0,0.1845,0.916030534351145,0.7862595419847328
78,19647330111575.0,Animo Ralph Bunche Charter High,Los Angeles Unified,Los Angeles,147.0,12.0,22.08,21.2,21.42,21.36,6.6,0.55,147.0,80.0,29.0,0.3625,10.0,0.125,9.0,0.1125,0.08163265306122448,0.54421768707483
79,19647330102434.0,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,133.0,12.0,22.08,21.2,21.42,21.36,6.6,0.55,133.0,42.0,15.0,0.3571,7.0,0.1667,6.0,0.1429,0.09022556390977443,0.3157894736842105
80,19647330106831.0,Animo Venice Charter High,Los Angeles Unified,Los Angeles,132.0,86.0,17.0,16.0,17.0,17.0,18.0,0.2093,132.0,24.0,16.0,0.6667,10.0,0.4167,10.0,0.4167,0.6515151515151515,0.18181818181818182
81,19647330111625.0,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,21.0,19.0,18.0,18.0,17.0,8.0,0.381,128.0,44.0,25.0,0.5682,11.0,0.25,11.0,0.25,0.1640625,0.34375
